EnsemblGeneStableID	HGNC.symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj	Direction.rnaseq	Direction.H3K27ac	Direction.atac	Direction.methylation
ENSG00000141298.19	SSH2	6170.032283	-1.383287229	0.256392158	9.55E-09	3.41E-07	Down	Decrease	NS	NS
ENSG00000178695.6	KCTD12	123.6419198	3.823150571	0.807919811	9.65E-09	3.44E-07	Up	Decrease	NS	NS
ENSG00000041357.16	PSMA4	3180.924809	1.318628232	0.24371395	9.86E-09	3.51E-07	Up	NS	NS	NS
ENSG00000276482.3	SLC12A7	288.4096661	5.364397284	1.411397421	9.95E-09	3.53E-07	Up	NS	NS	NS
ENSG00000167136.7	ENDOG	249.8581828	2.656666388	0.534094596	1.08E-08	3.84E-07	Up	NS	NS	NS
ENSG00000185222.10	TCEAL9	33.011227	6.493037786	1.32152966	1.11E-08	3.93E-07	Up	NS	NS	NS
ENSG00000062282.15	DGAT2	440.971737	2.608874936	0.527752421	1.12E-08	3.95E-07	Up	NS	Increase	Hypo
ENSG00000102743.15	SLC25A15	419.1606984	1.684463748	0.318392941	1.16E-08	4.08E-07	Up	NS	NS	NS
ENSG00000101220.18	C20orf27	622.9580069	1.896085028	0.364796465	1.18E-08	4.14E-07	Up	NS	NS	NS
ENSG00000008441.16	NFIX	245.0010397	2.212321809	0.431143341	1.19E-08	4.16E-07	Up	NS	Increase	NS
ENSG00000162733.19	DDR2	183.1296925	3.141076834	0.65808129	1.20E-08	4.21E-07	Up	Increase	Increase	NS
ENSG00000006071.15	ABCC8	94.98263979	-3.308592114	0.688116406	1.29E-08	4.50E-07	Down	NS	NS	NS
ENSG00000142168.15	SOD1	5169.204274	1.451930462	0.272579839	1.30E-08	4.55E-07	Up	Decrease	NS	NS
ENSG00000147394.18	ZNF185	404.5646012	2.525266281	0.50967944	1.31E-08	4.55E-07	Up	NS	NS	NS
ENSG00000132823.11	OSER1	2479.075235	-1.356234931	0.254019563	1.35E-08	4.68E-07	Down	NS	NS	NS
ENSG00000173207.13	CKS1B	739.4282489	1.976934281	0.384970041	1.37E-08	4.75E-07	Up	NS	NS	NS
ENSG00000235173.7	HGH1	609.1595208	1.915045087	0.371238484	1.38E-08	4.76E-07	Up	NS	NS	NS
ENSG00000106089.12	STX1A	105.1029956	2.32704244	0.452361299	1.38E-08	4.77E-07	Up	NS	Increase	NS
ENSG00000147905.17	ZCCHC7	2562.122105	-1.193268367	0.22139827	1.39E-08	4.79E-07	Down	Decrease	NS	NS
ENSG00000114767.7	RRP9	1088.212671	1.400778097	0.262953068	1.41E-08	4.85E-07	Up	NS	Increase	NS
ENSG00000104419.16	NDRG1	1387.847848	-1.661797187	0.318586666	1.43E-08	4.90E-07	Down	NS	NS	NS
ENSG00000177971.8	IMP3	1026.517744	1.37651927	0.258148269	1.44E-08	4.92E-07	Up	NS	NS	NS
ENSG00000076826.9	CAMSAP3	228.8668241	5.045169917	1.553292616	1.44E-08	4.93E-07	Up	Decrease	NS	NS
ENSG00000072364.13	AFF4	4819.546996	-1.604457177	0.306861764	1.47E-08	5.02E-07	Down	Increase	NS	NS
ENSG00000148450.13	MSRB2	288.4897723	1.584285691	0.300041363	1.52E-08	5.17E-07	Up	NS	NS	NS
ENSG00000156253.7	RWDD2B	334.7990987	1.408575282	0.264250332	1.54E-08	5.24E-07	Up	NS	NS	NS
ENSG00000049449.10	RCN1	1082.13138	2.093192076	0.414784448	1.55E-08	5.26E-07	Up	Increase	NS	NS
ENSG00000118298.12	CA14	302.4817382	-2.569676074	0.525714461	1.61E-08	5.45E-07	Down	Decrease	Decrease	NS
ENSG00000275758.2	DDTL	28.95506029	9.159506746	3.091575657	1.65E-08	5.56E-07	Up	Decrease	NS	NS
ENSG00000100350.14	FOXRED2	423.3803899	1.957474215	0.382374613	1.68E-08	5.67E-07	Up	Increase	NS	NS
ENSG00000268994.3	FAM236B	24.61417747	-9.082610835	3.076389483	1.70E-08	5.73E-07	Down	NS	NS	NS
ENSG00000102898.12	NUTF2	1570.644593	1.753897445	0.340270546	1.71E-08	5.73E-07	Up	Decrease	NS	NS
ENSG00000152409.9	JMY	1425.588734	-1.596885547	0.306921364	1.71E-08	5.73E-07	Down	NS	NS	NS
ENSG00000176619.13	LMNB2	1808.99565	2.17432167	0.43587032	1.73E-08	5.78E-07	Up	Increase	Decrease	NS
ENSG00000175334.8	BANF1	2936.130417	1.910067413	0.375388903	1.74E-08	5.80E-07	Up	NS	NS	NS
ENSG00000112208.11	BAG2	329.1583978	1.498048765	0.284013135	1.77E-08	5.89E-07	Up	NS	NS	NS
ENSG00000088899.15	LZTS3	201.1580898	-2.25707829	0.447246653	1.78E-08	5.91E-07	Down	NS	NS	NS
ENSG00000137502.10	RAB30	2754.369036	-1.792037321	0.348893301	1.78E-08	5.91E-07	Down	Decrease	NS	NS
ENSG00000136738.15	STAM	2073.000324	-1.894658582	0.372582645	1.80E-08	5.96E-07	Down	NS	NS	NS
ENSG00000106367.15	AP1S1	1075.127333	2.364594258	0.483792184	1.85E-08	6.12E-07	Up	Increase	Increase	NS
ENSG00000108379.10	WNT3	3333.073703	1.772616969	0.345133184	1.86E-08	6.15E-07	Up	Increase	Increase	NS
ENSG00000180992.7	MRPL14	741.2074312	2.165613881	0.434263721	1.88E-08	6.20E-07	Up	NS	NS	NS
ENSG00000188610.12	FAM72B	159.7153755	2.606599883	0.529651053	1.90E-08	6.23E-07	Up	NS	NS	NS
ENSG00000109971.14	HSPA8	23858.99006	1.277441322	0.240691041	1.91E-08	6.25E-07	Up	NS	NS	NS
ENSG00000117411.16	B4GALT2	514.8437485	1.924663221	0.378006527	1.94E-08	6.34E-07	Up	NS	NS	NS
ENSG00000151208.17	DLG5	166.8469227	3.09652588	0.657323777	2.01E-08	6.57E-07	Up	NS	NS	NS
ENSG00000079462.7	PAFAH1B3	425.6327616	1.591453083	0.305836769	2.04E-08	6.67E-07	Up	NS	NS	NS
ENSG00000005189.19	REXO5	145.5101022	2.790170207	0.57366701	2.06E-08	6.68E-07	Up	NS	NS	NS
ENSG00000054598.9	FOXC1	90.75223625	4.37244193	0.962840023	2.05E-08	6.68E-07	Up	NS	NS	NS
ENSG00000125531.7	FNDC11	193.1709279	-2.569501371	0.528265943	2.06E-08	6.68E-07	Down	NS	Increase	NS
ENSG00000100591.8	AHSA1	2581.626084	1.321207218	0.250975614	2.07E-08	6.70E-07	Up	Decrease	NS	NS
ENSG00000115107.20	STEAP3	315.3438225	3.142555401	0.699658536	2.13E-08	6.87E-07	Up	NS	NS	NS
ENSG00000144852.18	NR1I2	185.6976134	3.248825764	0.721953495	2.13E-08	6.87E-07	Up	NS	NS	NS
ENSG00000117399.14	CDC20	416.2355686	4.126623062	1.130884796	2.24E-08	7.21E-07	Up	NS	NS	NS
ENSG00000066279.18	ASPM	603.3358544	4.429371619	1.318192743	2.29E-08	7.35E-07	Up	NS	NS	NS
ENSG00000197329.12	PELI1	11613.11511	-2.248867411	0.462512991	2.33E-08	7.46E-07	Down	NS	NS	NS
ENSG00000123975.5	CKS2	553.0298513	3.145400777	0.718590596	2.35E-08	7.51E-07	Up	NS	NS	NS
ENSG00000137513.10	NARS2	678.1258826	1.393375367	0.265562914	2.36E-08	7.55E-07	Up	NS	Increase	NS
ENSG00000168393.13	DTYMK	824.9692792	1.547794622	0.299043641	2.38E-08	7.60E-07	Up	NS	NS	NS
ENSG00000185033.14	SEMA4B	4996.61186	-2.064619417	0.417952761	2.39E-08	7.60E-07	Down	Increase	NS	NS
ENSG00000159335.17	PTMS	1771.529054	3.961058331	1.04149845	2.42E-08	7.69E-07	Up	NS	NS	NS
ENSG00000265354.4	TIMM23	859.8584996	1.385951499	0.264708829	2.44E-08	7.74E-07	Up	NS	NS	NS
ENSG00000063241.8	ISOC2	689.947037	1.939569146	0.386044594	2.49E-08	7.86E-07	Up	NS	Increase	NS
ENSG00000116731.22	PRDM2	14632.53489	-1.870132865	0.372382089	2.49E-08	7.86E-07	Down	NS	NS	NS
ENSG00000114491.14	UMPS	800.714125	1.348248268	0.25786992	2.52E-08	7.93E-07	Up	Increase	Decrease	NS
ENSG00000173276.14	ZBTB21	1260.896155	-1.797614854	0.355715343	2.61E-08	8.22E-07	Down	Increase	NS	NS
ENSG00000091592.16	NLRP1	12875.26541	-1.563176082	0.305003744	2.72E-08	8.56E-07	Down	NS	NS	NS
ENSG00000189159.16	JPT1	1240.859503	2.276748236	0.472162917	2.76E-08	8.67E-07	Up	NS	NS	NS
ENSG00000253328.2	SUMO2P19	78.59333127	-2.297225289	0.455393004	2.81E-08	8.78E-07	Down	Decrease	NS	NS
ENSG00000150779.12	TIMM8B	381.8077292	2.611400739	0.553270009	2.85E-08	8.91E-07	Up	NS	NS	NS
ENSG00000125901.6	MRPS26	1002.248868	1.8589407	0.369982174	2.88E-08	8.98E-07	Up	NS	NS	NS
ENSG00000082641.16	NFE2L1	4146.785313	1.379966545	0.264568795	2.90E-08	9.02E-07	Up	NS	NS	NS
ENSG00000145907.15	G3BP1	6266.528703	1.256688344	0.240689192	2.90E-08	9.02E-07	Up	NS	NS	NS
ENSG00000174175.17	SELP	537.1982524	-2.192657787	0.44768006	2.95E-08	9.15E-07	Down	NS	Increase	NS
ENSG00000244682.7	FCGR2C	570.3862961	-2.759485514	0.59832641	2.96E-08	9.18E-07	Down	NS	NS	NS
ENSG00000133067.17	LGR6	186.0671805	-2.7999025	0.591316009	2.97E-08	9.18E-07	Down	Decrease	Decrease	NS
ENSG00000171992.13	SYNPO	152.9978676	3.529815995	0.810475377	3.02E-08	9.31E-07	Up	NS	NS	NS
ENSG00000237649.8	KIFC1	670.4152879	4.176924135	1.270012709	3.06E-08	9.43E-07	Up	NS	NS	NS
ENSG00000073111.14	MCM2	3234.110607	1.91816196	0.386047257	3.08E-08	9.45E-07	Up	NS	NS	NS
ENSG00000160214.13	RRP1	1149.254498	1.551177712	0.302629567	3.08E-08	9.45E-07	Up	Increase	NS	NS
ENSG00000168078.10	PBK	131.4662245	4.083700006	0.996693531	3.19E-08	9.78E-07	Up	NS	NS	NS
ENSG00000029993.15	HMGB3	685.9682882	2.421242431	0.508559983	3.23E-08	9.88E-07	Up	NS	NS	NS
ENSG00000171365.17	CLCN5	1157.777821	1.762427801	0.349869783	3.26E-08	9.93E-07	Up	NS	NS	NS
ENSG00000166557.14	TMED3	1735.370895	1.223266613	0.233954686	3.29E-08	1.00E-06	Up	NS	NS	NS
ENSG00000145354.12	CISD2	538.6178882	1.371260463	0.26448389	3.42E-08	1.04E-06	Up	Decrease	NS	NS
ENSG00000187231.14	SESTD1	1885.840549	-1.89762445	0.384365132	3.66E-08	1.11E-06	Down	NS	NS	NS
ENSG00000106588.11	PSMA2	2478.356985	1.240837711	0.239190118	3.73E-08	1.13E-06	Up	Decrease	Decrease	NS
ENSG00000140525.18	FANCI	1539.116383	1.987610105	0.404911631	3.76E-08	1.14E-06	Up	NS	NS	NS
ENSG00000000938.13	FGR	6548.304145	-2.421517784	0.517583433	3.81E-08	1.15E-06	Down	NS	NS	NS
ENSG00000185015.8	CA13	416.3003176	-1.944013873	0.39331449	3.98E-08	1.20E-06	Down	Decrease	NS	NS
ENSG00000274336.2	CDIP1	1258.536063	1.146220916	0.21940186	4.00E-08	1.20E-06	Up	Decrease	NS	NS
ENSG00000141485.17	SLC13A5	84.11310111	-2.032764532	0.402632178	4.03E-08	1.21E-06	Down	Decrease	NS	NS
ENSG00000198876.13	DCAF12	712.2665938	1.754559412	0.351037203	4.06E-08	1.22E-06	Up	NS	NS	NS
ENSG00000187486.5	KCNJ11	191.1194615	-3.765439955	0.906060308	4.07E-08	1.22E-06	Down	NS	NS	NS
ENSG00000150456.11	EEF1AKMT1	123.5187415	2.251004119	0.458117484	4.10E-08	1.22E-06	Up	Decrease	Increase	NS
ENSG00000125245.12	GPR18	812.3649163	-1.928953876	0.392526472	4.23E-08	1.26E-06	Down	Decrease	NS	NS
ENSG00000127419.17	TMEM175	2321.087353	-1.389267987	0.271440135	4.27E-08	1.27E-06	Down	Increase	Increase	NS
ENSG00000111247.14	RAD51AP1	287.0063575	1.612975074	0.31826706	4.36E-08	1.29E-06	Up	Decrease	NS	NS
ENSG00000156709.14	AIFM1	1163.294784	1.495309288	0.29368793	4.36E-08	1.29E-06	Up	NS	NS	NS
ENSG00000134910.14	STT3A	2207.251294	1.287817169	0.250027157	4.40E-08	1.30E-06	Up	NS	NS	NS
ENSG00000111276.11	CDKN1B	2236.714164	-1.460799603	0.288628637	4.52E-08	1.34E-06	Down	NS	NS	NS
ENSG00000136933.17	RABEPK	617.4869623	1.281939333	0.248851857	4.53E-08	1.34E-06	Up	NS	NS	NS
ENSG00000196407.12	THEM5	253.828151	2.505367776	0.527464162	4.55E-08	1.34E-06	Up	Decrease	NS	NS
ENSG00000103507.14	BCKDK	872.8160264	1.661534997	0.331715047	4.58E-08	1.35E-06	Up	NS	NS	NS
ENSG00000153140.8	CETN3	293.3409578	1.873504149	0.377893886	4.59E-08	1.35E-06	Up	Decrease	NS	NS
ENSG00000004779.10	NDUFAB1	1024.768873	1.770311979	0.356883341	4.62E-08	1.35E-06	Up	NS	NS	NS
ENSG00000167264.18	DUS2	1866.525238	-1.431694094	0.282110947	4.64E-08	1.36E-06	Down	Decrease	NS	NS
ENSG00000115233.12	PSMD14	1139.028898	1.451598621	0.285916402	4.72E-08	1.38E-06	Up	Decrease	Decrease	NS
ENSG00000198053.11	SIRPA	773.0552326	3.013037088	0.695955151	4.72E-08	1.38E-06	Up	NS	NS	NS
ENSG00000205189.12	ZBTB10	1280.696996	-2.163782852	0.452930313	4.79E-08	1.39E-06	Down	NS	NS	NS
ENSG00000131981.16	LGALS3	681.0105849	3.031775642	0.692824156	4.80E-08	1.40E-06	Up	NS	NS	NS
ENSG00000135736.6	CCDC102A	74.86568713	3.553400034	0.773680766	4.82E-08	1.40E-06	Up	NS	NS	NS
ENSG00000198408.14	OGA	18684.83363	-1.215617335	0.236178049	4.82E-08	1.40E-06	Down	Decrease	NS	NS
ENSG00000204568.12	MRPS18B	1232.385009	1.759961219	0.355902269	4.97E-08	1.44E-06	Up	NS	NS	NS
ENSG00000137571.11	SLCO5A1	280.7715857	2.857229237	0.635833892	5.00E-08	1.44E-06	Up	Decrease	Increase	NS
ENSG00000105325.14	FZR1	3184.609146	-1.387331389	0.273488549	5.11E-08	1.47E-06	Down	NS	NS	NS
ENSG00000135451.13	TROAP	534.3289549	3.022136403	0.706364255	5.13E-08	1.48E-06	Up	NS	NS	NS
ENSG00000111669.15	TPI1	8329.939089	2.007320694	0.416437606	5.23E-08	1.50E-06	Up	NS	NS	NS
ENSG00000142949.17	PTPRF	327.9292878	3.717989796	0.917090314	5.36E-08	1.54E-06	Up	NS	NS	NS
ENSG00000138160.6	KIF11	1000.308776	2.06070832	0.428765714	5.38E-08	1.54E-06	Up	NS	NS	NS
ENSG00000164327.13	RICTOR	3266.252406	-1.263916374	0.247615904	5.45E-08	1.56E-06	Down	NS	NS	NS
ENSG00000196275.14	GTF2IRD2	1029.511504	-1.237798175	0.24169895	5.47E-08	1.56E-06	Down	NS	Increase	NS
ENSG00000047597.7	XK	170.2684359	3.316137764	0.753320928	5.66E-08	1.61E-06	Up	NS	NS	NS
ENSG00000112578.10	BYSL	416.3685209	2.308429917	0.490127161	5.67E-08	1.61E-06	Up	NS	NS	NS
ENSG00000170231.16	FABP6	36.75602842	9.326297298	2.990931851	5.66E-08	1.61E-06	Up	NS	Increase	NS
ENSG00000100714.17	MTHFD1	2727.548532	1.310436007	0.258547302	5.68E-08	1.61E-06	Up	NS	Increase	Hypo
ENSG00000148175.13	STOM	386.8250636	1.736317806	0.351331465	5.93E-08	1.68E-06	Up	NS	Decrease	NS
ENSG00000164032.12	H2AZ1	3030.689563	1.54902347	0.310822835	6.00E-08	1.70E-06	Up	NS	NS	NS
ENSG00000188486.3	H2AX	1441.133528	2.56302697	0.563365072	6.06E-08	1.71E-06	Up	NS	NS	NS
ENSG00000277753.3	MUC20	103.9871762	-2.15438096	0.441076064	6.19E-08	1.74E-06	Down	NS	NS	NS
ENSG00000100154.14	TTC28	410.353903	-1.755786593	0.356642275	6.22E-08	1.75E-06	Down	NS	NS	NS
ENSG00000161800.13	RACGAP1	764.9499004	2.207875296	0.468904528	6.32E-08	1.77E-06	Up	Decrease	NS	NS
ENSG00000112715.24	VEGFA	396.6762796	3.399313075	0.837292363	6.40E-08	1.79E-06	Up	NS	NS	NS
ENSG00000137203.14	TFAP2A	66.24621321	3.587696784	0.775781191	6.40E-08	1.79E-06	Up	NS	NS	NS
ENSG00000171320.15	ESCO2	183.2675588	2.126915951	0.439109574	6.41E-08	1.79E-06	Up	Decrease	NS	NS
ENSG00000214026.11	MRPL23	486.6030792	1.200306563	0.234489557	6.44E-08	1.79E-06	Up	NS	NS	NS
ENSG00000123297.20	TSFM	539.5069699	1.647904864	0.332596555	6.47E-08	1.80E-06	Up	NS	NS	NS
ENSG00000117000.9	RLF	2139.223644	-1.419503548	0.283017428	6.51E-08	1.80E-06	Down	NS	NS	NS
ENSG00000152684.11	PELO	192.1388953	1.621785052	0.324459929	6.53E-08	1.80E-06	Up	NS	NS	NS
ENSG00000163251.4	FZD5	76.42450011	2.620888383	0.550737306	6.50E-08	1.80E-06	Up	Decrease	NS	NS
ENSG00000175130.7	MARCKSL1	2504.946286	1.98968631	0.416144058	6.53E-08	1.80E-06	Up	NS	Decrease	NS
ENSG00000174738.13	NR1D2	810.6044868	-1.666199461	0.338198279	6.55E-08	1.81E-06	Down	NS	NS	NS
ENSG00000188312.14	CENPP	398.2786142	1.560847072	0.312977634	6.62E-08	1.82E-06	Up	NS	NS	NS
ENSG00000003400.15	CASP10	917.0238584	1.456004154	0.293202147	6.72E-08	1.85E-06	Up	NS	NS	NS
ENSG00000155660.11	PDIA4	2304.864297	1.405469721	0.279982795	6.71E-08	1.85E-06	Up	Decrease	NS	NS
ENSG00000113552.16	GNPDA1	1028.565298	1.833648936	0.3772831	6.74E-08	1.85E-06	Up	Decrease	NS	NS
ENSG00000163935.14	SFMBT1	3830.331047	-1.615054668	0.327611674	6.76E-08	1.85E-06	Down	NS	Increase	NS
ENSG00000227242.4	NBPF13P	144.4803768	5.285063878	1.253012857	6.78E-08	1.85E-06	Up	NS	NS	NS
ENSG00000241418.1	MCRIP2P1	47.68067291	2.888270896	0.600319779	6.86E-08	1.87E-06	Up	NS	NS	NS
ENSG00000198964.14	SGMS1	875.0017661	-1.518851359	0.305581119	6.89E-08	1.88E-06	Down	Decrease	Decrease	NS
ENSG00000196781.16	TLE1	2053.728058	-2.394073807	0.522489173	7.01E-08	1.91E-06	Down	NS	Increase	NS
ENSG00000159388.6	BTG2	9823.910297	-1.464675051	0.295042217	7.04E-08	1.91E-06	Down	Decrease	Decrease	NS
ENSG00000112343.11	TRIM38	4142.134148	-1.232599739	0.243631185	7.07E-08	1.92E-06	Down	NS	NS	NS
ENSG00000099338.23	CATSPERG	262.0176915	-1.451609679	0.289231784	7.20E-08	1.95E-06	Down	NS	NS	NS
ENSG00000164051.14	CCDC51	294.4037657	1.547075684	0.310143439	7.25E-08	1.96E-06	Up	NS	NS	NS
ENSG00000184588.18	PDE4B	9178.485118	-2.199296466	0.472954381	7.26E-08	1.96E-06	Down	Decrease	NS	NS
ENSG00000146918.20	NCAPG2	777.0039143	1.555180436	0.313866585	7.29E-08	1.97E-06	Up	NS	NS	NS
ENSG00000161996.19	WDR90	1775.33588	1.770302957	0.364439718	7.40E-08	1.99E-06	Up	Increase	Increase	NS
ENSG00000140939.14	NOL3	225.4739428	3.480512816	0.855202152	7.44E-08	2.00E-06	Up	NS	NS	NS
ENSG00000142657.21	PGD	2174.741374	1.789179128	0.36934067	7.52E-08	2.02E-06	Up	NS	NS	NS
ENSG00000111666.11	CHPT1	1650.432257	-2.370583297	0.522176221	7.58E-08	2.03E-06	Down	Decrease	NS	NS
ENSG00000138363.15	ATIC	3418.398716	1.226899545	0.242295366	7.58E-08	2.03E-06	Up	NS	NS	NS
ENSG00000179431.7	FJX1	40.82328971	5.611599736	1.339564727	7.62E-08	2.03E-06	Up	NS	Increase	NS
ENSG00000068137.15	PLEKHH3	197.0523095	2.161175597	0.452846342	7.69E-08	2.05E-06	Up	Decrease	NS	NS
ENSG00000137288.10	UQCC2	1063.840401	1.845151857	0.384357222	7.89E-08	2.10E-06	Up	NS	NS	NS
ENSG00000188747.8	NOXA1	183.4392641	-2.269964044	0.480532371	7.89E-08	2.10E-06	Down	Decrease	Increase	NS
ENSG00000224837.1	GCSHP5	47.30498784	4.152138414	0.916505178	7.99E-08	2.12E-06	Up	NS	NS	NS
ENSG00000243989.9	ACY1	1048.36307	1.787879286	0.369522017	8.09E-08	2.15E-06	Up	NS	NS	NS
ENSG00000100632.11	ERH	2214.699064	1.161602064	0.228802063	8.39E-08	2.22E-06	Up	NS	NS	NS
ENSG00000006432.15	MAP3K9	1734.307755	-1.363749994	0.274030984	8.52E-08	2.25E-06	Down	Decrease	NS	NS
ENSG00000119013.9	NDUFB3	659.5124943	1.813387526	0.375807974	8.54E-08	2.25E-06	Up	NS	NS	NS
ENSG00000125319.14	HROB	195.6502538	1.734569322	0.353708171	8.53E-08	2.25E-06	Up	NS	NS	NS
ENSG00000055118.15	KCNH2	587.0755545	-3.70002994	0.985936715	8.83E-08	2.33E-06	Down	NS	NS	NS
ENSG00000175581.14	MRPL48	625.0546672	1.190948	0.235368705	8.88E-08	2.33E-06	Up	NS	Increase	Hypo
ENSG00000074219.14	TEAD2	1474.614277	-3.661893319	1.101122079	8.91E-08	2.34E-06	Down	Increase	Increase	NS
ENSG00000116062.17	MSH6	2198.145111	1.379944608	0.277561326	8.96E-08	2.35E-06	Up	Decrease	Increase	NS
ENSG00000114861.22	FOXP1	7382.178496	-1.513723751	0.309118425	9.07E-08	2.37E-06	Down	Decrease	NS	NS
ENSG00000187024.15	PTRH1	165.1441098	1.81868504	0.373810697	9.46E-08	2.47E-06	Up	NS	NS	NS
ENSG00000002745.13	WNT16	280.5756819	-2.071356233	0.433103432	9.58E-08	2.50E-06	Down	Decrease	NS	NS
ENSG00000163191.6	S100A11	687.4577983	2.164218614	0.467812021	9.92E-08	2.59E-06	Up	NS	NS	NS
ENSG00000160949.17	TONSL	1267.159646	1.865767147	0.392736334	9.94E-08	2.59E-06	Up	Increase	NS	NS
ENSG00000213214.5	ARHGEF35	55.94411038	5.766668311	1.207023932	1.01E-07	2.63E-06	Up	NS	NS	NS
ENSG00000112406.5	HECA	2163.360201	-1.139632938	0.226191315	1.03E-07	2.66E-06	Down	NS	Decrease	NS
ENSG00000173418.12	NAA20	778.6718427	1.188772353	0.235700285	1.03E-07	2.66E-06	Up	Decrease	Increase	NS
ENSG00000163346.17	PBXIP1	6091.959144	-1.352499042	0.273608513	1.04E-07	2.70E-06	Down	NS	NS	NS
ENSG00000188687.17	SLC4A5	287.1666362	-1.421297014	0.286829491	1.05E-07	2.71E-06	Down	NS	Decrease	NS
ENSG00000204475.10	NCR3	250.155423	-2.312850916	0.504294898	1.05E-07	2.71E-06	Down	NS	NS	NS
ENSG00000128578.10	STRIP2	143.5567689	2.587104001	0.571057209	1.06E-07	2.72E-06	Up	NS	NS	NS
ENSG00000284901.2	RUVBL1	729.6502141	1.482064438	0.302072896	1.06E-07	2.73E-06	Up	NS	NS	NS
ENSG00000110324.11	IL10RA	12638.41653	-1.605319994	0.332876137	1.11E-07	2.84E-06	Down	NS	NS	NS
ENSG00000144645.14	OSBPL10	3564.180006	-3.525535551	0.922417966	1.12E-07	2.87E-06	Down	Decrease	NS	Hypo
ENSG00000111206.13	FOXM1	788.6953205	1.770240244	0.370661767	1.13E-07	2.90E-06	Up	NS	NS	NS
ENSG00000100968.14	NFATC4	201.5743356	4.593550137	1.33709881	1.14E-07	2.91E-06	Up	NS	NS	NS
ENSG00000204165.6	CXorf65	306.9644152	-2.305270388	0.501872726	1.14E-07	2.91E-06	Down	NS	NS	NS
ENSG00000143603.19	KCNN3	83.47939623	-2.723177931	0.596225389	1.14E-07	2.91E-06	Down	NS	NS	NS
ENSG00000023287.13	RB1CC1	1602.541686	-1.238639381	0.249348977	1.14E-07	2.91E-06	Down	NS	NS	NS
ENSG00000165501.17	LRR1	198.8182399	1.643976721	0.337999892	1.19E-07	3.02E-06	Up	Decrease	NS	NS
ENSG00000133318.14	RTN3	905.8354488	1.377364646	0.279875246	1.22E-07	3.09E-06	Up	NS	NS	NS
ENSG00000159399.10	HK2	918.8385726	1.422024119	0.290008585	1.22E-07	3.09E-06	Up	NS	Decrease	NS
ENSG00000178773.15	CPNE7	642.6439344	3.378352233	0.861628633	1.23E-07	3.11E-06	Up	Increase	Increase	NS
ENSG00000119326.15	CTNNAL1	158.3747556	2.560943012	0.566684475	1.24E-07	3.12E-06	Up	NS	NS	NS
ENSG00000109689.17	STIM2	6419.567702	-1.302857199	0.265869235	1.25E-07	3.13E-06	Down	Decrease	NS	NS
ENSG00000147119.4	CHST7	114.6346587	2.229287164	0.475177751	1.25E-07	3.14E-06	Up	NS	NS	NS
ENSG00000169750.9	RAC3	78.04652366	2.028951443	0.421430649	1.26E-07	3.16E-06	Up	Increase	NS	NS
ENSG00000134809.9	TIMM10	519.5248444	1.292252984	0.261538369	1.30E-07	3.26E-06	Up	Decrease	Increase	NS
ENSG00000153093.18	ACOXL	138.1900929	1.981692635	0.416384651	1.31E-07	3.28E-06	Up	NS	Increase	NS
ENSG00000167085.11	PHB	2134.643512	1.607244217	0.334856746	1.34E-07	3.34E-06	Up	Decrease	NS	NS
ENSG00000131477.11	RAMP2	23.95118381	4.783244338	1.012579782	1.35E-07	3.35E-06	Up	Decrease	NS	NS
ENSG00000225556.1	C2CD4D	101.5193422	3.191138689	0.726797056	1.35E-07	3.35E-06	Up	Decrease	NS	NS
ENSG00000155254.13	MARVELD1	446.7963537	3.135355098	0.761947953	1.35E-07	3.36E-06	Up	NS	NS	NS
ENSG00000099901.17	RANBP1	2842.474578	1.600260619	0.333538624	1.36E-07	3.37E-06	Up	NS	NS	NS
ENSG00000061656.10	SPAG4	550.0593156	-1.444715895	0.296766669	1.38E-07	3.41E-06	Down	Decrease	NS	NS
ENSG00000182718.17	ANXA2	4903.807969	1.597477149	0.333362057	1.38E-07	3.41E-06	Up	NS	NS	NS
ENSG00000102226.10	USP11	5105.265474	-1.033971098	0.206082543	1.39E-07	3.44E-06	Down	NS	NS	NS
ENSG00000111817.19	DSE	442.4873439	1.310051106	0.265884014	1.40E-07	3.45E-06	Up	NS	NS	NS
ENSG00000154723.12	ATP5PF	1345.8174	1.333153348	0.272028051	1.42E-07	3.49E-06	Up	NS	NS	NS
ENSG00000230224.1	PHBP9	282.7762712	-1.486443914	0.30525588	1.42E-07	3.50E-06	Down	Decrease	NS	NS
ENSG00000274853.2	MRM1	209.890902	2.001354964	0.413482795	1.44E-07	3.53E-06	Up	NS	NS	NS
ENSG00000124429.18	POF1B	134.4587183	3.098939069	0.712252483	1.45E-07	3.56E-06	Up	NS	NS	NS
ENSG00000173218.15	VANGL1	100.2279973	3.835461269	0.89896392	1.48E-07	3.63E-06	Up	NS	NS	NS
ENSG00000145416.13	MARCHF1	3341.255049	-2.282459033	0.515576687	1.49E-07	3.64E-06	Down	Decrease	Increase	NS
ENSG00000184226.15	PCDH9	4216.558658	-3.676822916	1.169920871	1.51E-07	3.69E-06	Down	NS	Increase	NS
ENSG00000255151.2	GLYATL1B	258.1015037	-2.508477531	0.571103054	1.51E-07	3.69E-06	Down	Decrease	Increase	NS
ENSG00000101003.10	GINS1	260.6920133	2.013323738	0.431896977	1.54E-07	3.74E-06	Up	Increase	Increase	NS
